device_name,date,time_window,actual_start_time,actual_end_time,daily_consumption,adjusted_start_value,end_value,window_first_reading,readings_count
Machine2,"March 1, 2025",2025-03-01 07:30:00 - 2025-03-02 07:30:00,2025-03-01 07:30,2025-03-02 07:29,716,1325557,1326273,1325557,1416
Machine2,"March 2, 2025",2025-03-02 07:30:00 - 2025-03-03 07:30:00,2025-03-02 07:30,2025-03-03 07:28,648,1326273,1326921,1326274,1415
Machine2,"March 3, 2025",2025-03-03 07:30:00 - 2025-03-04 07:30:00,2025-03-03 07:30,2025-03-04 07:29,720,1326921,1327641,1326922,1417
Machine2,"March 4, 2025",2025-03-04 07:30:00 - 2025-03-05 07:30:00,2025-03-04 07:30,2025-03-05 07:29,684,1327641,1328325,1327642,1416
Machine2,"March 5, 2025",2025-03-05 07:30:00 - 2025-03-06 07:30:00,2025-03-05 07:30,2025-03-06 07:29,756,1328325,1329081,1328325,1416
Machine2,"March 6, 2025",2025-03-06 07:30:00 - 2025-03-07 07:30:00,2025-03-06 07:30,2025-03-07 07:29,589,1329081,1329670,1329082,1416
Machine2,"March 7, 2025",2025-03-07 07:30:00 - 2025-03-08 07:30:00,2025-03-07 07:30,2025-03-08 07:29,575,1329670,1330245,1329670,1416
Machine2,"March 8, 2025",2025-03-08 07:30:00 - 2025-03-09 07:30:00,2025-03-08 07:30,2025-03-09 07:29,658,1330245,1330903,1330245,1413
Machine2,"March 9, 2025",2025-03-09 07:30:00 - 2025-03-10 07:30:00,2025-03-09 07:30,2025-03-10 07:29,660,1330903,1331563,1330904,1413
Machine2,"March 10, 2025",2025-03-10 07:30:00 - 2025-03-11 07:30:00,2025-03-10 07:30,2025-03-11 07:29,699,1331563,1332262,1331563,1416
Machine2,"March 11, 2025",2025-03-11 07:30:00 - 2025-03-12 07:30:00,2025-03-11 07:30,2025-03-12 07:29,619,1332262,1332881,1332262,1414
Machine2,"March 12, 2025",2025-03-12 07:30:00 - 2025-03-13 07:30:00,2025-03-12 07:30,2025-03-13 07:29,758,1332881,1333639,1332881,1415
Machine2,"March 13, 2025",2025-03-13 07:30:00 - 2025-03-14 07:30:00,2025-03-13 07:30,2025-03-14 07:29,720,1333639,1334359,1333640,1416
Machine2,"March 14, 2025",2025-03-14 07:30:00 - 2025-03-15 07:30:00,2025-03-14 07:30,2025-03-15 07:29,847,1334359,1335206,1334360,1417
Machine2,"March 15, 2025",2025-03-15 07:30:00 - 2025-03-16 07:30:00,2025-03-15 07:30,2025-03-16 07:29,804,1335206,1336010,1335206,1416
