device_name,date,time_window,actual_start_time,actual_end_time,daily_consumption,adjusted_start_value,end_value,window_first_reading,readings_count
Machine1,"March 1, 2025",2025-03-01 07:30:00 - 2025-03-02 07:30:00,2025-03-01 07:30,2025-03-02 07:29,1734,1420111,1421845,1420111,1416
Machine1,"March 2, 2025",2025-03-02 07:30:00 - 2025-03-03 07:30:00,2025-03-02 07:30,2025-03-03 07:28,1392,1421845,1423237,1421846,1414
Machine1,"March 3, 2025",2025-03-03 07:30:00 - 2025-03-04 07:30:00,2025-03-03 07:30,2025-03-04 07:29,1785,1423237,1425022,1423238,1417
Machine1,"March 4, 2025",2025-03-04 07:30:00 - 2025-03-05 07:30:00,2025-03-04 07:30,2025-03-05 07:29,1801,1425022,1426823,1425023,1416
Machine1,"March 5, 2025",2025-03-05 07:30:00 - 2025-03-06 07:30:00,2025-03-05 07:30,2025-03-06 07:29,1842,1426823,1428665,1426824,1416
Machine1,"March 6, 2025",2025-03-06 07:30:00 - 2025-03-07 07:30:00,2025-03-06 07:30,2025-03-07 07:29,1796,1428665,1430461,1428667,1416
Machine1,"March 7, 2025",2025-03-07 07:30:00 - 2025-03-08 07:30:00,2025-03-07 07:30,2025-03-08 07:29,1775,1430461,1432236,1430462,1415
Machine1,"March 8, 2025",2025-03-08 07:30:00 - 2025-03-09 07:30:00,2025-03-08 07:30,2025-03-09 07:29,1791,1432236,1434027,1432237,1413
Machine1,"March 9, 2025",2025-03-09 07:30:00 - 2025-03-10 07:30:00,2025-03-09 07:30,2025-03-10 07:29,1753,1434027,1435780,1434028,1412
Machine1,"March 10, 2025",2025-03-10 07:30:00 - 2025-03-11 07:30:00,2025-03-10 07:30,2025-03-11 07:29,1767,1435780,1437547,1435781,1416
Machine1,"March 11, 2025",2025-03-11 07:30:00 - 2025-03-12 07:30:00,2025-03-11 07:30,2025-03-12 07:29,1736,1437547,1439283,1437548,1414
Machine1,"March 12, 2025",2025-03-12 07:30:00 - 2025-03-13 07:30:00,2025-03-12 07:30,2025-03-13 07:29,1780,1439283,1441063,1439284,1415
Machine1,"March 13, 2025",2025-03-13 07:30:00 - 2025-03-14 07:30:00,2025-03-13 07:30,2025-03-14 07:29,1805,1441063,1442868,1441064,1416
Machine1,"March 14, 2025",2025-03-14 07:30:00 - 2025-03-15 07:30:00,2025-03-14 07:30,2025-03-15 07:29,1750,1442868,1444618,1442870,1417
Machine1,"March 15, 2025",2025-03-15 07:30:00 - 2025-03-16 07:30:00,2025-03-15 07:30,2025-03-16 07:29,1774,1444618,1446392,1444619,1416
Machine1,"March 16, 2025",2025-03-16 07:30:00 - 2025-03-17 07:30:00,2025-03-16 07:30,2025-03-17 07:29,1756,1446392,1448148,1446393,1416
Machine1,"March 17, 2025",2025-03-17 07:30:00 - 2025-03-18 07:30:00,2025-03-17 07:30,2025-03-18 07:29,1302,1448148,1449450,1448150,1415
Machine1,"March 18, 2025",2025-03-18 07:30:00 - 2025-03-19 07:30:00,2025-03-18 07:30,2025-03-19 07:29,1641,1449450,1451091,1449451,1417
Machine1,"March 19, 2025",2025-03-19 07:30:00 - 2025-03-20 07:30:00,2025-03-19 07:30,2025-03-20 07:29,1790,1451091,1452881,1451092,1415
Machine1,"March 20, 2025",2025-03-20 07:30:00 - 2025-03-21 07:30:00,2025-03-20 07:30,2025-03-21 07:29,1803,1452881,1454684,1452882,1416
Machine1,"March 21, 2025",2025-03-21 07:30:00 - 2025-03-22 07:30:00,2025-03-21 07:30,2025-03-22 07:29,1768,1454684,1456452,1454685,1417
Machine1,"March 22, 2025",2025-03-22 07:30:00 - 2025-03-23 07:30:00,2025-03-22 07:30,2025-03-23 07:29,1775,1456452,1458227,1456454,1416
Machine1,"March 23, 2025",2025-03-23 07:30:00 - 2025-03-24 07:30:00,2025-03-23 07:30,2025-03-24 07:29,1775,1458227,1460002,1458229,1415
Machine1,"March 24, 2025",2025-03-24 07:30:00 - 2025-03-25 07:30:00,2025-03-24 07:30,2025-03-25 07:29,1771,1460002,1461773,1460003,1417
Machine1,"March 25, 2025",2025-03-25 07:30:00 - 2025-03-26 07:30:00,2025-03-25 07:30,2025-03-26 07:29,1742,1461773,1463515,1461774,1412
Machine1,"March 26, 2025",2025-03-26 07:30:00 - 2025-03-27 07:30:00,2025-03-26 07:30,2025-03-27 07:29,1783,1463515,1465298,1463516,1415
Machine1,"March 27, 2025",2025-03-27 07:30:00 - 2025-03-28 07:30:00,2025-03-27 07:30,2025-03-28 07:29,1788,1465298,1467086,1465299,1414
Machine1,"March 28, 2025",2025-03-28 07:30:00 - 2025-03-29 07:30:00,2025-03-28 07:30,2025-03-29 07:29,1759,1467086,1468845,1467087,1416
Machine1,"March 29, 2025",2025-03-29 07:30:00 - 2025-03-30 07:30:00,2025-03-29 07:30,2025-03-30 07:29,1778,1468845,1470623,1468846,1417
Machine1,"March 30, 2025",2025-03-30 07:30:00 - 2025-03-31 07:30:00,2025-03-30 07:30,2025-03-31 07:29,1762,1470623,1472385,1470624,1415
Machine1,"March 31, 2025",2025-03-31 07:30:00 - 2025-04-01 07:30:00,2025-03-31 07:30,2025-04-01 07:29,1759,1472385,1474144,1472386,1416
Machine1,"April 1, 2025",2025-04-01 07:30:00 - 2025-04-02 07:30:00,2025-04-01 07:30,2025-04-02 07:29,1763,1474144,1475907,1474146,1415
Machine1,"April 2, 2025",2025-04-02 07:30:00 - 2025-04-03 07:30:00,2025-04-02 07:30,2025-04-03 07:29,1748,1475907,1477655,1475908,1410
Machine1,"April 3, 2025",2025-04-03 07:30:00 - 2025-04-04 07:30:00,2025-04-03 07:30,2025-04-04 07:29,1774,1477655,1479429,1477656,1408
Machine1,"April 4, 2025",2025-04-04 07:30:00 - 2025-04-05 07:30:00,2025-04-04 07:30,2025-04-05 07:29,1765,1479429,1481194,1479431,1415
Machine1,"April 5, 2025",2025-04-05 07:30:00 - 2025-04-06 07:30:00,2025-04-05 07:30,2025-04-06 07:29,1764,1481194,1482958,1481195,1416
Machine1,"April 6, 2025",2025-04-06 07:30:00 - 2025-04-07 07:30:00,2025-04-06 07:30,2025-04-07 07:29,1740,1482958,1484698,1482959,1413
Machine1,"April 7, 2025",2025-04-07 07:30:00 - 2025-04-08 07:30:00,2025-04-07 07:30,2025-04-08 07:29,1746,1484698,1486444,1484699,1416
Machine1,"April 8, 2025",2025-04-08 07:30:00 - 2025-04-09 07:30:00,2025-04-08 07:30,2025-04-09 07:29,1758,1486444,1488202,1486445,1415
Machine1,"April 9, 2025",2025-04-09 07:30:00 - 2025-04-10 07:30:00,2025-04-09 07:30,2025-04-10 07:29,1752,1488202,1489954,1488203,1415
Machine1,"April 10, 2025",2025-04-10 07:30:00 - 2025-04-11 07:30:00,2025-04-10 07:30,2025-04-11 07:29,1329,1489954,1491283,1489955,1416
Machine1,"April 11, 2025",2025-04-11 07:30:00 - 2025-04-12 07:30:00,2025-04-11 07:30,2025-04-12 07:29,348,1491283,1491631,1491283,1417
Machine1,"April 12, 2025",2025-04-12 07:30:00 - 2025-04-13 07:30:00,2025-04-12 07:30,2025-04-13 07:29,61,1491631,1491692,1491631,1415
Machine1,"April 13, 2025",2025-04-13 07:30:00 - 2025-04-14 07:30:00,2025-04-13 07:30,2025-04-14 07:29,26,1491692,1491718,1491692,828
Machine1,"April 14, 2025",2025-04-14 07:30:00 - 2025-04-15 07:30:00,2025-04-14 07:30,2025-04-15 07:29,44,1491718,1491762,1491718,1416
Machine1,"April 15, 2025",2025-04-15 07:30:00 - 2025-04-16 07:30:00,2025-04-15 07:30,2025-04-16 07:29,1503,1491762,1493265,1491762,1415
Machine1,"April 16, 2025",2025-04-16 07:30:00 - 2025-04-17 07:30:00,2025-04-16 07:30,2025-04-17 07:29,623,1493265,1493888,1493267,1414
Machine1,"April 17, 2025",2025-04-17 07:30:00 - 2025-04-18 07:30:00,2025-04-17 07:30,2025-04-18 07:29,38,1493888,1493926,1493888,1416
Machine1,"April 18, 2025",2025-04-18 07:30:00 - 2025-04-19 07:30:00,2025-04-18 07:30,2025-04-19 07:29,38,1493926,1493964,1493926,1416
Machine1,"April 19, 2025",2025-04-19 07:30:00 - 2025-04-20 07:30:00,2025-04-19 07:30,2025-04-20 07:29,38,1493964,1494002,1493964,1417
Machine1,"April 20, 2025",2025-04-20 07:30:00 - 2025-04-21 07:30:00,2025-04-20 07:30,2025-04-21 07:29,36,1494002,1494038,1494002,1415
Machine1,"April 21, 2025",2025-04-21 07:30:00 - 2025-04-22 07:30:00,2025-04-21 07:30,2025-04-22 07:29,959,1494038,1494997,1494038,1356
Machine1,"April 22, 2025",2025-04-22 07:30:00 - 2025-04-23 07:30:00,2025-04-22 07:30,2025-04-23 07:29,1697,1494997,1496694,1494998,1416
Machine1,"April 23, 2025",2025-04-23 07:30:00 - 2025-04-24 07:30:00,2025-04-23 07:30,2025-04-24 07:29,1679,1496694,1498373,1496695,1409
Machine1,"April 24, 2025",2025-04-24 07:30:00 - 2025-04-25 07:30:00,2025-04-24 07:30,2025-04-25 07:29,1716,1498373,1500089,1498374,1416
Machine1,"April 25, 2025",2025-04-25 07:30:00 - 2025-04-26 07:30:00,2025-04-25 07:30,2025-04-26 07:29,1755,1500089,1501844,1500090,1414
Machine1,"April 26, 2025",2025-04-26 07:30:00 - 2025-04-27 07:30:00,2025-04-26 07:30,2025-04-27 07:29,1757,1501844,1503601,1501845,1416
Machine1,"April 27, 2025",2025-04-27 07:30:00 - 2025-04-28 07:30:00,2025-04-27 07:30,2025-04-28 07:29,1140,1503601,1504741,1503603,1416
Machine1,"April 28, 2025",2025-04-28 07:30:00 - 2025-04-29 07:30:00,2025-04-28 07:30,2025-04-29 07:29,1707,1504741,1506448,1504742,1417
Machine1,"April 29, 2025",2025-04-29 07:30:00 - 2025-04-30 07:30:00,2025-04-29 07:30,2025-04-30 07:29,1742,1506448,1508190,1506449,1413
Machine1,"April 30, 2025",2025-04-30 07:30:00 - 2025-05-01 07:30:00,2025-04-30 07:30,2025-05-01 07:29,1720,1508190,1509910,1508192,1415
Machine1,"May 1, 2025",2025-05-01 07:30:00 - 2025-05-02 07:30:00,2025-05-01 07:30,2025-05-02 07:29,1318,1509910,1511228,1509911,1416
Machine1,"May 2, 2025",2025-05-02 07:30:00 - 2025-05-03 07:30:00,2025-05-02 07:30,2025-05-03 07:29,1737,1511228,1512965,1511229,1416
Machine1,"May 3, 2025",2025-05-03 07:30:00 - 2025-05-04 07:30:00,2025-05-03 07:30,2025-05-04 07:29,1735,1512965,1514700,1512967,1417
Machine1,"May 4, 2025",2025-05-04 07:30:00 - 2025-05-05 07:30:00,2025-05-04 07:30,2025-05-05 07:29,1756,1514700,1516456,1514701,1412
Machine1,"May 5, 2025",2025-05-05 07:30:00 - 2025-05-06 07:30:00,2025-05-05 07:30,2025-05-06 07:29,1726,1516456,1518182,1516457,1416
Machine1,"May 6, 2025",2025-05-06 07:30:00 - 2025-05-07 07:30:00,2025-05-06 07:30,2025-05-07 07:29,1757,1518182,1519939,1518183,1415
Machine1,"May 7, 2025",2025-05-07 07:30:00 - 2025-05-08 07:30:00,2025-05-07 07:30,2025-05-08 07:29,1744,1519939,1521683,1519941,1416
Machine1,"May 8, 2025",2025-05-08 07:30:00 - 2025-05-09 07:30:00,2025-05-08 07:30,2025-05-09 07:29,1705,1521683,1523388,1521684,1416
Machine1,"May 9, 2025",2025-05-09 07:30:00 - 2025-05-10 07:30:00,2025-05-09 07:30,2025-05-10 07:29,1746,1523388,1525134,1523389,1416
Machine1,"May 10, 2025",2025-05-10 07:30:00 - 2025-05-11 07:30:00,2025-05-10 07:30,2025-05-11 07:29,1745,1525134,1526879,1525136,1414
Machine1,"May 11, 2025",2025-05-11 07:30:00 - 2025-05-12 07:30:00,2025-05-11 07:30,2025-05-12 07:29,1748,1526879,1528627,1526880,1414
Machine1,"May 12, 2025",2025-05-12 07:30:00 - 2025-05-13 07:30:00,2025-05-12 07:30,2025-05-13 07:29,1740,1528627,1530367,1528628,1416
Machine1,"May 13, 2025",2025-05-13 07:30:00 - 2025-05-14 07:30:00,2025-05-13 07:30,2025-05-14 07:28,1727,1530367,1532094,1530369,1415
Machine1,"May 14, 2025",2025-05-14 07:30:00 - 2025-05-15 07:30:00,2025-05-14 07:30,2025-05-15 07:29,1722,1532094,1533816,1532095,1415
Machine1,"May 15, 2025",2025-05-15 07:30:00 - 2025-05-16 07:30:00,2025-05-15 07:30,2025-05-16 07:29,1239,1533816,1535055,1533817,1416
Machine1,"May 16, 2025",2025-05-16 07:30:00 - 2025-05-17 07:30:00,2025-05-16 07:30,2025-05-17 07:29,1735,1535055,1536790,1535056,1414
Machine1,"May 17, 2025",2025-05-17 07:30:00 - 2025-05-18 07:30:00,2025-05-17 07:30,2025-05-18 07:29,1728,1536790,1538518,1536791,1416
Machine1,"May 18, 2025",2025-05-18 07:30:00 - 2025-05-19 07:30:00,2025-05-18 07:30,2025-05-19 07:29,1758,1538518,1540276,1538519,1416
Machine1,"May 19, 2025",2025-05-19 07:30:00 - 2025-05-20 07:30:00,2025-05-19 07:30,2025-05-20 07:29,1729,1540276,1542005,1540278,1416
Machine1,"May 20, 2025",2025-05-20 07:30:00 - 2025-05-21 07:30:00,2025-05-20 07:31,2025-05-21 07:29,1728,1542005,1543733,1542006,1416
Machine1,"May 21, 2025",2025-05-21 07:30:00 - 2025-05-22 07:30:00,2025-05-21 07:30,2025-05-22 07:28,1702,1543733,1545435,1543735,1412
Machine1,"May 22, 2025",2025-05-22 07:30:00 - 2025-05-23 07:30:00,2025-05-22 07:30,2025-05-23 07:29,1737,1545435,1547172,1545437,1417
Machine1,"May 23, 2025",2025-05-23 07:30:00 - 2025-05-24 07:30:00,2025-05-23 07:30,2025-05-24 07:29,1729,1547172,1548901,1547173,1415
Machine1,"May 24, 2025",2025-05-24 07:30:00 - 2025-05-25 07:30:00,2025-05-24 07:30,2025-05-25 07:29,1725,1548901,1550626,1548902,1416
Machine1,"May 25, 2025",2025-05-25 07:30:00 - 2025-05-26 07:30:00,2025-05-25 07:30,2025-05-26 07:29,1746,1550626,1552372,1550627,1417
