device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,date,production_output,start_counter_value,end_counter_value,window_first_reading,readings_count,reset_count,pre_reset_sum,reset_info
Machine3,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,"March 1, 2025",34619.3,13692367.24,13726986.54,13692367.24,1416,0,0,[]
Machine3,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,"March 2, 2025",34292.28,13726986.54,13761278.82,13727028.04,1415,0,0,[]
Machine3,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,"March 3, 2025",32189.06,13761278.82,13793467.88,13761278.82,1416,0,0,[]
Machine3,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,"March 4, 2025",35845.21,13793467.88,13829313.09,13793503.57,1414,0,0,[]
Machine3,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,"March 5, 2025",26088.56,13829313.09,13855401.65,13829341.31,1412,0,0,[]
Machine3,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,"March 6, 2025",34377.77,13855401.65,13889779.42,13855401.65,1413,0,0,[]
Machine3,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,"March 7, 2025",26418.07,13889779.42,13916197.49,13889807.64,1417,0,0,[]
Machine3,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,"March 8, 2025",32271.23,13916197.49,13948468.72,13916225.71,1414,0,0,[]
Machine3,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,"March 9, 2025",9109.25,13948468.72,13957577.97,13948468.72,1414,0,0,[]
Machine3,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,"March 10, 2025",28802.66,13957577.97,13986380.63,13957577.97,1415,0,0,[]
Machine3,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,"March 11, 2025",34638.39,13986380.63,14021019.02,13986380.63,1414,0,0,[]
Machine3,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,"March 12, 2025",25245.28,14021019.02,14046264.3,14021040.6,1415,0,0,[]
Machine3,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,"March 13, 2025",32614.02,14046264.3,14078878.32,14046280.9,1413,0,0,[]
Machine3,2025-03-14 07:30,2025-03-15 07:30,2025-03-14 07:30,2025-03-15 07:29,"March 14, 2025",29582.86,14078878.32,14108461.18,14078904.88,1415,0,0,[]
Machine3,2025-03-15 07:30,2025-03-16 07:30,2025-03-15 07:30,2025-03-16 07:29,"March 15, 2025",35013.55,14108461.18,14143474.73,14108486.08,1416,0,0,[]
Machine3,2025-03-16 07:30,2025-03-17 07:30,2025-03-16 07:30,2025-03-17 07:29,"March 16, 2025",28903.09,14143474.73,14172377.82,14143507.93,1416,0,0,[]
Machine3,2025-03-17 07:30,2025-03-18 07:30,2025-03-17 07:30,2025-03-18 07:29,"March 17, 2025",28481.45,14172377.82,14200859.27,14172402.72,1416,0,0,[]
Machine3,2025-03-18 07:30,2025-03-19 07:30,2025-03-18 07:30,2025-03-19 07:29,"March 18, 2025",27843.18,14200859.27,14228702.45,14200881.68,1412,0,0,[]
Machine3,2025-03-19 07:30,2025-03-20 07:30,2025-03-19 07:30,2025-03-20 07:29,"March 19, 2025",28899.77,14228702.45,14257602.22,14228702.45,1416,0,0,[]
Machine3,2025-03-20 07:30,2025-03-21 07:30,2025-03-20 07:30,2025-03-21 07:29,"March 20, 2025",28158.58,14257602.22,14285760.8,14257627.12,1417,0,0,[]
Machine3,2025-03-21 07:30,2025-03-22 07:30,2025-03-21 07:30,2025-03-22 07:29,"March 21, 2025",460.65,14285760.8,14286221.45,14285806.45,1407,0,0,[]
Machine3,2025-03-22 07:30,2025-03-23 07:30,2025-03-22 07:30,2025-03-23 07:29,"March 22, 2025",30072.56,14286221.45,14316294.01,14286221.45,1413,0,0,[]
Machine3,2025-03-23 07:30,2025-03-24 07:30,2025-03-23 07:30,2025-03-24 07:29,"March 23, 2025",20797.31,14316294.01,14337091.32,14316316.42,1414,0,0,[]
Machine3,2025-03-24 07:30,2025-03-25 07:30,2025-03-24 07:30,2025-03-25 07:29,"March 24, 2025",37061.16,14337091.32,14374152.48,14337091.32,1414,0,0,[]
Machine3,2025-03-25 07:30,2025-03-26 07:30,2025-03-25 07:30,2025-03-26 07:29,"March 25, 2025",30933.27,14374152.48,14405085.75,14374152.48,1413,0,0,[]
Machine3,2025-03-26 07:30,2025-03-27 07:30,2025-03-26 07:30,2025-03-27 07:29,"March 26, 2025",17317.95,14405085.75,14422403.7,14405123.93,1414,0,0,[]
