device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,on_time_seconds,off_time_seconds,total_window_time_seconds,efficiency,has_gap_more_than_2_minutes
Machine3,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,67785,18534,86400,78.45,FALSE
Machine3,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,66006,20398,86400,76.4,FALSE
Machine3,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,62172,24210,86400,71.96,FALSE
Machine3,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,65875,20503,86400,76.24,FALSE
Machine3,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,63699,22743,86400,73.73,FALSE
Machine3,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,63020,23353,86400,72.94,FALSE
Machine3,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,59669,26771,86400,69.06,FALSE
Machine3,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,61482,24876,86400,71.16,FALSE
Machine3,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,20376,66013,86400,23.58,FALSE
Machine3,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,57038,29404,86400,66.02,FALSE
Machine3,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,66487,19877,86400,76.95,FALSE
Machine3,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,57849,28545,86400,66.95,FALSE
Machine3,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,69003,17439,86400,79.86,FALSE
Machine3,2025-03-14 07:30,2025-03-15 07:30,2025-03-14 07:30,2025-03-15 07:29,60938,25443,86400,70.53,FALSE
Machine3,2025-03-15 07:30,2025-03-16 07:30,2025-03-15 07:30,2025-03-16 07:29,65389,20989,86400,75.68,FALSE
Machine3,2025-03-16 07:30,2025-03-17 07:30,2025-03-16 07:30,2025-03-17 07:29,61173,25245,86400,70.8,FALSE
Machine3,2025-03-17 07:30,2025-03-18 07:30,2025-03-17 07:30,2025-03-18 07:29,64590,21834,86400,74.76,FALSE
Machine3,2025-03-18 07:30,2025-03-19 07:30,2025-03-18 07:30,2025-03-19 07:29,65823,20554,86400,76.18,FALSE
Machine3,2025-03-19 07:30,2025-03-20 07:30,2025-03-19 07:30,2025-03-20 07:29,64494,21886,86400,74.65,FALSE
Machine3,2025-03-20 07:30,2025-03-21 07:30,2025-03-20 07:30,2025-03-21 07:29,61367,25074,86400,71.03,FALSE
Machine3,2025-03-21 07:30,2025-03-22 07:30,2025-03-21 07:30,2025-03-22 07:29,548,85830,86400,0.63,FALSE
Machine3,2025-03-22 07:30,2025-03-23 07:30,2025-03-22 07:30,2025-03-23 07:29,50511,35873,86400,58.46,FALSE
Machine3,2025-03-23 07:30,2025-03-24 07:30,2025-03-23 07:30,2025-03-24 07:29,39165,47266,86400,45.33,FALSE
Machine3,2025-03-24 07:30,2025-03-25 07:30,2025-03-24 07:30,2025-03-25 07:29,67459,18921,86400,78.08,FALSE
Machine3,2025-03-25 07:30,2025-03-26 07:30,2025-03-25 07:30,2025-03-26 07:29,61796,24602,86400,71.52,FALSE
Machine3,2025-03-26 07:30,2025-03-27 07:30,2025-03-26 07:30,2025-03-27 07:29,53014,33403,86400,61.36,FALSE
Machine3,2025-03-27 07:30,2025-03-28 07:30,2025-03-27 07:30,2025-03-28 07:29,51384,34996,86400,59.47,FALSE
Machine3,2025-03-28 07:30,2025-03-29 07:30,2025-03-28 07:30,2025-03-29 07:29,0,86440,86400,0,FALSE
Machine3,2025-03-29 07:30,2025-03-30 07:30,2025-03-29 07:30,2025-03-30 07:29,53564,32819,86400,62,FALSE
Machine3,2025-03-30 07:30,2025-03-31 07:30,2025-03-30 07:30,2025-03-31 07:29,62654,23724,86400,72.52,FALSE
Machine3,2025-03-31 07:30,2025-04-01 07:30,2025-03-31 07:30,2025-04-01 07:29,67957,18484,86400,78.65,FALSE
Machine3,2025-04-01 07:30,2025-04-02 07:30,2025-04-01 07:30,2025-04-02 07:29,67833,18549,86400,78.51,FALSE
Machine3,2025-04-02 07:30,2025-04-03 07:30,2025-04-02 07:30,2025-04-03 07:29,65582,20829,86400,75.91,FALSE
Machine3,2025-04-03 07:30,2025-04-04 07:30,2025-04-03 07:30,2025-04-04 07:29,60760,25634,86400,70.32,FALSE
Machine3,2025-04-04 07:30,2025-04-05 07:30,2025-04-04 07:30,2025-04-05 07:29,55831,30548,86400,64.62,FALSE
Machine3,2025-04-05 07:30,2025-04-06 07:30,2025-04-05 07:30,2025-04-06 07:28,55526,30854,86400,64.27,FALSE
Machine3,2025-04-06 07:30,2025-04-07 07:30,2025-04-06 07:30,2025-04-07 07:29,25193,61228,86400,29.16,FALSE
Machine3,2025-04-07 07:30,2025-04-08 07:30,2025-04-07 07:30,2025-04-08 07:29,68016,18364,86400,78.72,FALSE
Machine3,2025-04-08 07:30,2025-04-09 07:30,2025-04-08 07:30,2025-04-09 07:29,70333,16107,86400,81.4,FALSE
Machine3,2025-04-09 07:30,2025-04-10 07:30,2025-04-09 07:30,2025-04-10 07:29,60153,26229,86400,69.62,FALSE
Machine3,2025-04-10 07:30,2025-04-11 07:30,2025-04-10 07:30,2025-04-11 07:29,61358,25020,86400,71.02,FALSE
Machine3,2025-04-11 07:30,2025-04-12 07:30,2025-04-11 07:30,2025-04-12 07:29,0,86440,86400,0,FALSE
Machine3,2025-04-12 07:30,2025-04-13 07:30,2025-04-12 07:30,2025-04-13 07:29,0,86380,86400,0,FALSE
Machine3,2025-04-13 07:30,2025-04-14 07:30,2025-04-13 07:30,2025-04-14 07:29,0,86414,86400,0,FALSE
Machine3,2025-04-14 07:30,2025-04-15 07:30,2025-04-14 07:30,2025-04-15 07:29,0,86381,86400,0,FALSE
Machine3,2025-04-15 07:30,2025-04-16 07:30,2025-04-15 07:30,2025-04-16 07:29,0,86406,86400,0,FALSE
Machine3,2025-04-16 07:30,2025-04-17 07:30,2025-04-16 07:30,2025-04-17 07:29,9152,77269,86400,10.59,FALSE
Machine3,2025-04-17 07:30,2025-04-18 07:30,2025-04-17 07:30,2025-04-18 07:29,69972,16408,86400,80.99,FALSE
Machine3,2025-04-18 07:30,2025-04-19 07:30,2025-04-18 07:30,2025-04-19 07:29,64167,22212,86400,74.27,FALSE
Machine3,2025-04-19 07:30,2025-04-20 07:30,2025-04-19 07:30,2025-04-20 07:29,62426,24016,86400,72.25,FALSE
Machine3,2025-04-20 07:30,2025-04-21 07:30,2025-04-20 07:30,2025-04-21 07:29,58324,28056,86400,67.5,FALSE
Machine3,2025-04-21 07:30,2025-04-22 07:30,2025-04-21 07:30,2025-04-22 07:29,55753,30626,86400,64.53,FALSE
Machine3,2025-04-22 07:30,2025-04-23 07:30,2025-04-22 07:30,2025-04-23 07:29,34711,51702,86400,40.17,FALSE
Machine3,2025-04-23 07:30,2025-04-24 07:30,2025-04-23 07:30,2025-04-24 07:29,66126,20302,86400,76.53,FALSE
Machine3,2025-04-24 07:30,2025-04-25 07:30,2025-04-24 07:30,2025-04-25 07:29,65184,21186,86400,75.44,FALSE
Machine3,2025-04-25 07:30,2025-04-26 07:30,2025-04-25 07:30,2025-04-26 07:29,67715,18713,86400,78.37,FALSE
Machine3,2025-04-26 07:30,2025-04-27 07:30,2025-04-26 07:30,2025-04-27 07:29,70083,16296,86400,81.11,FALSE
Machine3,2025-04-27 07:30,2025-04-28 07:30,2025-04-27 07:30,2025-04-28 07:29,64781,21625,86400,74.98,FALSE
Machine3,2025-04-28 07:30,2025-04-29 07:30,2025-04-28 07:30,2025-04-29 07:29,58134,28246,86400,67.28,FALSE
Machine3,2025-04-29 07:30,2025-04-30 07:30,2025-04-29 07:30,2025-04-30 07:29,66061,20362,86400,76.46,FALSE
Machine3,2025-04-30 07:30,2025-05-01 07:30,2025-04-30 07:30,2025-05-01 07:29,62520,23892,86400,72.36,FALSE
Machine3,2025-05-01 07:30,2025-05-02 07:30,2025-05-01 07:30,2025-05-02 07:29,67957,18430,86400,78.65,FALSE
Machine3,2025-05-02 07:30,2025-05-03 07:30,2025-05-02 07:30,2025-05-03 07:29,66862,19518,86400,77.39,FALSE
Machine3,2025-05-03 07:30,2025-05-04 07:30,2025-05-03 07:30,2025-05-04 07:29,62161,24281,86400,71.95,FALSE
Machine3,2025-05-04 07:30,2025-05-05 07:30,2025-05-04 07:30,2025-05-05 07:29,64295,22110,86400,74.42,FALSE
Machine3,2025-05-05 07:30,2025-05-06 07:30,2025-05-05 07:30,2025-05-06 07:29,57344,29024,86400,66.37,FALSE
Machine3,2025-05-06 07:30,2025-05-07 07:30,2025-05-06 07:30,2025-05-07 07:29,52620,33760,86400,60.9,FALSE
Machine3,2025-05-07 07:30,2025-05-08 07:30,2025-05-07 07:30,2025-05-08 07:29,1767,84674,86400,2.05,FALSE
Machine3,2025-05-08 07:30,2025-05-09 07:30,2025-05-08 07:30,2025-05-09 07:29,0,86379,86400,0,FALSE
Machine3,2025-05-09 07:30,2025-05-10 07:30,2025-05-09 07:30,2025-05-10 07:29,0,86381,86400,0,FALSE
Machine3,2025-05-10 07:30,2025-05-11 07:30,2025-05-10 07:30,2025-05-11 07:29,26379,60075,86400,30.53,FALSE
Machine3,2025-05-11 07:30,2025-05-12 07:30,2025-05-11 07:30,2025-05-12 07:29,59038,27320,86400,68.33,FALSE
Machine3,2025-05-12 07:30,2025-05-13 07:30,2025-05-12 07:30,2025-05-13 07:29,63069,23364,86400,73,FALSE
Machine3,2025-05-13 07:30,2025-05-14 07:30,2025-05-13 07:30,2025-05-14 07:29,57937,28443,86400,67.06,FALSE
Machine3,2025-05-14 07:30,2025-05-15 07:30,2025-05-14 07:30,2025-05-15 07:29,67714,18667,86400,78.37,FALSE
Machine3,2025-05-15 07:30,2025-05-16 07:30,2025-05-15 07:30,2025-05-16 07:29,56028,30386,86400,64.85,FALSE
Machine3,2025-05-16 07:30,2025-05-17 07:30,2025-05-16 07:30,2025-05-17 07:29,64720,21659,86400,74.91,FALSE
