device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,time_slot,date,production_output,start_counter_value,end_counter_value,readings_count,reset_count,pre_reset_sum
Machine2,2025-03-01 07:30,2025-03-01 08:30,2025-03-01 07:30,2025-03-01 08:29,07:30-08:30,"March 1, 2025",634.44,16977999.96,16978634.40,59,0,0
Machine2,2025-03-01 08:30,2025-03-01 09:30,2025-03-01 08:30,2025-03-01 09:29,08:30-09:30,"March 1, 2025",170.68,16978652.76,16978823.44,59,0,0
Machine2,2025-03-01 09:30,2025-03-01 10:30,2025-03-01 09:30,2025-03-01 10:29,09:30-10:30,"March 1, 2025",615.40,16978823.44,16979438.84,59,0,0
Machine2,2025-03-01 10:30,2025-03-01 11:30,2025-03-01 10:30,2025-03-01 11:29,10:30-11:30,"March 1, 2025",78.88,16979461.28,16979540.16,59,0,0
Machine2,2025-03-01 11:30,2025-03-01 12:30,2025-03-01 11:30,2025-03-01 12:29,11:30-12:30,"March 1, 2025",388.96,16979540.16,16979929.12,59,0,0
Machine2,2025-03-01 12:30,2025-03-01 13:30,2025-03-01 12:30,2025-03-01 13:29,12:30-13:30,"March 1, 2025",690.20,16979929.12,16980619.32,59,0,0
Machine2,2025-03-01 13:30,2025-03-01 14:30,2025-03-01 13:30,2025-03-01 14:29,13:30-14:30,"March 1, 2025",1268.20,16980641.08,16981909.28,59,0,0
Machine2,2025-03-01 14:30,2025-03-01 15:30,2025-03-01 14:30,2025-03-01 15:29,14:30-15:30,"March 1, 2025",514.08,16981931.72,16982445.80,59,0,0
Machine2,2025-03-01 15:30,2025-03-01 16:30,2025-03-01 15:30,2025-03-01 16:29,15:30-16:30,"March 1, 2025",927.52,16982460.08,16983387.60,59,0,0
Machine2,2025-03-01 16:30,2025-03-01 17:30,2025-03-01 16:30,2025-03-01 17:29,16:30-17:30,"March 1, 2025",760.92,16983397.80,16984158.72,59,0,0
Machine2,2025-03-01 17:30,2025-03-01 18:30,2025-03-01 17:30,2025-03-01 18:29,17:30-18:30,"March 1, 2025",1152.60,16984164.84,16985317.44,59,0,0
Machine2,2025-03-01 18:30,2025-03-01 19:30,2025-03-01 18:30,2025-03-01 19:29,18:30-19:30,"March 1, 2025",1656.48,16985350.08,16987006.56,59,0,0
Machine2,2025-03-02 07:30,2025-03-02 08:30,2025-03-02 07:30,2025-03-02 08:29,07:30-08:30,"March 2, 2025",595.68,17000352.92,17000948.60,59,0,0
Machine2,2025-03-02 08:30,2025-03-02 09:30,2025-03-02 08:30,2025-03-02 09:29,08:30-09:30,"March 2, 2025",923.44,17000964.92,17001888.36,59,0,0
Machine2,2025-03-02 09:30,2025-03-02 10:30,2025-03-02 09:30,2025-03-02 10:29,09:30-10:30,"March 2, 2025",841.84,17001906.72,17002748.56,59,0,0
Machine2,2025-03-02 10:30,2025-03-02 11:30,2025-03-02 10:30,2025-03-02 11:29,10:30-11:30,"March 2, 2025",552.16,17002748.56,17003300.72,59,0,0
Machine2,2025-03-02 11:30,2025-03-02 12:30,2025-03-02 11:30,2025-03-02 12:29,11:30-12:30,"March 2, 2025",1207.00,17003310.24,17004517.24,59,0,0
Machine2,2025-03-02 12:30,2025-03-02 13:30,2025-03-02 12:30,2025-03-02 13:29,12:30-13:30,"March 2, 2025",1249.16,17004539.68,17005788.84,59,0,0
Machine2,2025-03-02 13:30,2025-03-02 14:30,2025-03-02 13:30,2025-03-02 14:29,13:30-14:30,"March 2, 2025",1030.20,17005813.32,17006843.52,59,0,0
Machine2,2025-03-02 14:30,2025-03-02 15:30,2025-03-02 14:30,2025-03-02 15:29,14:30-15:30,"March 2, 2025",651.44,17006866.64,17007518.08,58,0,0
Machine2,2025-03-02 15:30,2025-03-02 16:30,2025-03-02 15:30,2025-03-02 16:29,15:30-16:30,"March 2, 2025",746.64,17007527.60,17008274.24,59,0,0
Machine2,2025-03-02 16:30,2025-03-02 17:30,2025-03-02 16:30,2025-03-02 17:29,16:30-17:30,"March 2, 2025",509.32,17008274.24,17008783.56,59,0,0
Machine2,2025-03-02 17:30,2025-03-02 18:30,2025-03-02 17:30,2025-03-02 18:29,17:30-18:30,"March 2, 2025",628.32,17008791.72,17009420.04,59,0,0
Machine2,2025-03-02 18:30,2025-03-02 19:30,2025-03-02 18:30,2025-03-02 19:29,18:30-19:30,"March 2, 2025",1306.96,17009428.88,17010735.84,59,0,0
Machine2,2025-03-03 07:30,2025-03-03 08:30,2025-03-03 07:30,2025-03-03 08:29,07:30-08:30,"March 3, 2025",879.92,17016633.48,17017513.40,59,0,0
Machine2,2025-03-03 08:30,2025-03-03 09:30,2025-03-03 08:30,2025-03-03 09:29,08:30-09:30,"March 3, 2025",1232.16,17017533.80,17018765.96,59,0,0
Machine2,2025-03-03 09:30,2025-03-03 10:30,2025-03-03 09:30,2025-03-03 10:29,09:30-10:30,"March 3, 2025",1353.88,17018789.08,17020142.96,59,0,0
Machine2,2025-03-03 10:30,2025-03-03 11:30,2025-03-03 10:30,2025-03-03 11:29,10:30-11:30,"March 3, 2025",2247.40,17020178.32,17022425.72,59,0,0
Machine2,2025-03-03 11:30,2025-03-03 12:30,2025-03-03 11:30,2025-03-03 12:29,11:30-12:30,"March 3, 2025",2328.32,17022464.48,17024792.80,59,0,0
Machine2,2025-03-03 12:30,2025-03-03 13:30,2025-03-03 12:30,2025-03-03 13:29,12:30-13:30,"March 3, 2025",2282.76,17024832.24,17027115.00,59,0,0
Machine2,2025-03-03 13:30,2025-03-03 14:30,2025-03-03 13:30,2025-03-03 14:29,13:30-14:30,"March 3, 2025",238.00,17027117.04,17027355.04,59,0,0
Machine2,2025-03-03 14:30,2025-03-03 15:30,2025-03-03 14:30,2025-03-03 15:29,14:30-15:30,"March 3, 2025",739.16,17027369.32,17028108.48,59,0,0
Machine2,2025-03-03 15:30,2025-03-03 16:30,2025-03-03 15:30,2025-03-03 16:29,15:30-16:30,"March 3, 2025",364.48,17028124.80,17028489.28,59,0,0
Machine2,2025-03-03 16:30,2025-03-03 17:30,2025-03-03 16:30,2025-03-03 17:29,16:30-17:30,"March 3, 2025",800.36,17028506.28,17029306.64,59,0,0
Machine2,2025-03-03 17:30,2025-03-03 18:30,2025-03-03 17:30,2025-03-03 18:29,17:30-18:30,"March 3, 2025",709.24,17029306.64,17030015.88,59,0,0
Machine2,2025-03-03 18:30,2025-03-03 19:30,2025-03-03 18:30,2025-03-03 19:29,18:30-19:30,"March 3, 2025",0.00,17030015.88,17030015.88,59,0,0
Machine2,2025-03-04 07:30,2025-03-04 08:30,2025-03-04 07:30,2025-03-04 08:29,07:30-08:30,"March 4, 2025",24.48,17036174.64,17036199.12,59,0,0
Machine2,2025-03-04 08:30,2025-03-04 09:30,2025-03-04 08:30,2025-03-04 09:29,08:30-09:30,"March 4, 2025",415.48,17036199.12,17036614.60,59,0,0
Machine2,2025-03-04 09:30,2025-03-04 10:30,2025-03-04 09:30,2025-03-04 10:29,09:30-10:30,"March 4, 2025",545.36,17036626.16,17037171.52,57,0,0
Machine2,2025-03-04 10:30,2025-03-04 11:30,2025-03-04 10:30,2025-03-04 11:29,10:30-11:30,"March 4, 2025",56.44,17037171.52,17037227.96,59,0,0
Machine2,2025-03-04 11:30,2025-03-04 12:30,2025-03-04 11:30,2025-03-04 12:29,11:30-12:30,"March 4, 2025",873.80,17037227.96,17038101.76,59,0,0
Machine2,2025-03-04 12:30,2025-03-04 13:30,2025-03-04 12:30,2025-03-04 13:29,12:30-13:30,"March 4, 2025",1049.92,17038122.84,17039172.76,59,0,0
Machine2,2025-03-04 13:30,2025-03-04 14:30,2025-03-04 13:30,2025-03-04 14:29,13:30-14:30,"March 4, 2025",237.32,17039172.76,17039410.08,59,0,0
Machine2,2025-03-04 14:30,2025-03-04 15:30,2025-03-04 14:30,2025-03-04 15:29,14:30-15:30,"March 4, 2025",319.60,17039410.08,17039729.68,59,0,0
Machine2,2025-03-04 15:30,2025-03-04 16:30,2025-03-04 15:30,2025-03-04 16:29,15:30-16:30,"March 4, 2025",503.20,17039729.68,17040232.88,59,0,0
Machine2,2025-03-04 16:30,2025-03-04 17:30,2025-03-04 16:30,2025-03-04 17:29,16:30-17:30,"March 4, 2025",235.96,17040232.88,17040468.84,59,0,0
